rank,rig,height_m,n_cameras,gpu_mult,bboxH_min,bboxH_p10,bboxH_med,cov_detect,cov_reid,cov_ocr,elev_min_deg,occl_open,occl_setpiece,score
1,C,20.0,4,4,80,95,122,97%,97%,64%,10.7,0.1%,1.7%,0.782
2,Dn,12.0,6,6,69,79,101,100%,100%,37%,9.1,0.2%,0.5%,0.733
3,Dn,15.0,6,6,67,77,98,100%,100%,32%,11.4,0.2%,0.3%,0.729
4,C,15.0,4,4,82,94,125,100%,100%,68%,8.1,0.2%,2.7%,0.721
5,Dn,20.0,6,6,64,73,92,100%,100%,21%,12.3,0.1%,0.0%,0.716
6,C,12.0,4,4,82,94,127,100%,100%,69%,6.5,0.4%,2.9%,0.715
7,B,20.0,2,2,49,57,75,100%,100%,11%,10.7,0.3%,1.5%,0.534
8,B,15.0,2,2,49,58,78,100%,100%,16%,8.1,0.3%,2.1%,0.511
9,D,20.0,4,4,31,34,43,100%,65%,0%,14.5,0.1%,0.2%,0.491
10,D,15.0,4,4,32,36,48,100%,76%,0%,11.1,0.2%,0.4%,0.487
11,D,12.0,4,4,32,36,50,100%,80%,0%,8.9,0.2%,0.5%,0.484
12,B,12.0,2,2,49,58,79,100%,100%,18%,6.5,0.5%,3.0%,0.463
13,A,20.0,1,1,18,19,26,82%,10%,0%,10.7,0.2%,2.6%,0.286
14,A,15.0,1,1,18,19,27,83%,17%,0%,8.1,0.3%,3.3%,0.244
15,A,12.0,1,1,18,19,27,83%,19%,0%,6.5,0.5%,3.9%,0.21
